Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
diabate,moussa    lac SF 22  185   24   47   1   2  10   16  31   50    4   7   9   8  15   0    59   0   0   0   1  -22
diakite,mamadi    cle SF 21  165   24   50   7  21   2    2   8   30    8   4  12   9  26   0    57   0   0   0   2   -5
diallo,hamidou    det SG 56  972  215  375   5  21  87  148  57  194   56  53  71  16 124   2   522   0   0   0   0  -16
dieng,gorgui      san  C 31  345   45  117  21  75  10   13  27  107   53   4  32  14  57   0   121   0   0   0   1 -152
dieng,ousmane     okl SF 39  551   76  181  26  98  15   23  19  105   46  14  26   7  42   0   193   0   0   0   1   39
dinwiddie,spenc   bro PG 26  906  144  356  43 149  98  123   9  107  236  28  55   8  63   0   429   0   0   0  26   67
dinwiddie,spenc   dal PG 53 1781  316  694 138 341 170  207  19  163  278  39  89  16 124   0   940   0   0   0  53  -77
dinwiddie,spenc   tot PG 79 2687  460 1050 181 490 268  330  28  270  514  67 144  24 187   0  1369   0   0   0  79  -10
divincenzo,dont   gsw SG 72 1857  235  540 150 378  58   71  80  325  252  97 112  10 133   0   678   0   0   0  36  124
doncic,luka       dal PG 66 2360  719 1449 185 541 515  694  54  569  529  90 236  33 166   1  2138   0   0   0  66  128
dorsey,tyler      dal PG  3    7    4    5   1   2   0    0   1    2    0   0   0   0   0   0     9   0   0   0   0    2
dort,luguentz     okl SF 74 2235  339  873 135 408 200  259 128  344  154  75  92  23 243   3  1013   0   0   0  73   32
dosunmu,ayo       chi SG 80 2055  281  570  59 189  66   82  45  218  206  62  99  26 182   0   687   0   0   0  51  -77
dotson,devon      was PG  6   51    1    9   1   3   0    0   6   10    8   5   3   0   9   0     3   0   0   0   0   -3
dowtin,jeff       tor PG 25  247   25   57   5  16   6    9   6   23   31   9   5   3  13   0    61   0   0   0   0   -9
dozier,pj         sac PG 13   75   10   33   2  16   0    0   1   14   10   6   5   1   7   0    22   0   0   0   0  -23
dragic,goran      chi PG 51  763  127  299  45 128  27   41  13   69  139  11  56   4  63   0   326   0   0   0   0   31
dragic,goran      mil PG  7   79   14   36   7  17   4    4   3   12   12   2   7   0   2   0    39   0   0   0   0  -26
dragic,goran      tot PG 58  842  141  335  52 145  31   45  16   81  151  13  63   4  65   0   365   0   0   0   0    5
drummond,andre    chi  C 67  815  166  274   0   3  67  125 139  445   33  45  75  27 117   0   399   0   0   0   0   25
duarte,chris      ind SG 46  873  123  333  55 173  61   72  19  115   64  26  41   9  65   0   362   0   0   0  12 -114
duke,david        bro SF 23  216   36   78   1  12  12   17  11   29   21  10  18   1  31   1    85   0   0   0   1  -35
dunn,kris         uta PG 22  557  116  216  17  36  41   53   9  100  124  25  35  10  58   0   290   0   0   0   3  -62
durant,kevin      bro PF 39 1381  410  735  71 189 267  286  14  262  207  32 135  58  92   1  1158   0   0   0  39  189
durant,kevin      pho PF  8  264   73  128  22  41  40   48   3   51   28   2  20  10   7   0   208   0   0   0   8   69
durant,kevin      tot PF 47 1645  483  863  93 230 307  334  17  313  235  34 155  68  99   1  1366   0   0   0  47  258
duren,jalen       det  C 67 1638  258  398   0   2  96  157 229  595   75  44  92  59 182   0   612   0   0   0  31 -279
eason,tari        hou SF 82 1729  296  660  59 172 109  145 195  496   88  96 101  46 189   0   760   0   0   0   5 -156
edwards,anthony   min SF 79 2800  707 1542 213 579 319  422  47  458  350 125 260  59 186   0  1946   0   0   0  79   96
edwards,kessler   bro SF 14   73    6   24   2  12   1    2   6   14    2   3   4   1   3   0    15   0   0   0   1    3
edwards,kessler   sac SF 20  295   30   69  15  43  10   13  17   47   21  11   9   5  37   0    85   0   0   0   3    4
edwards,kessler   tot SF 34  368   36   93  17  55  11   15  23   61   23  14  13   6  40   0   100   0   0   0   4    7
ellis,keon        sac SG 15   67    7   16   6  12   4    7   4    8    6   5   1   1  10   0    24   0   0   0   0  -21
embiid,joel       phi  C 66 2251  728 1328  66 200 661  771 113  671  274  66 225 112 205   2  2183   0   0   0  66  424
eubanks,drew      por PF 78 1553  214  334   7  18  83  125 132  418  103  41  67 102 169   1   518   0   0   0  28 -122
fernando,bruno    atl PF  8   38   11   19   0   3   5    6   6   15    1   0   5   3   6   0    27   0   0   0   0   -4
fernando,bruno    hou PF 31  350   48   93   0   1  30   44  48  122   30   6  20  31  68   0   126   0   0   0   4  -71
fernando,bruno    tot PF 39  388   59  112   0   4  35   50  54  137   31   6  25  34  74   0   153   0   0   0   4  -75
finney-smith,do   bro PF 26  710   67  191  37 121  15   19  47  128   41  17  26  16  64   0   186   0   0   0  26  -24
finney-smith,do   dal PF 40 1268  129  310  77 217  30   40  67  188   60  38  36  20  80   2   365   0   0   0  40   17
finney-smith,do   tot PF 66 1978  196  501 114 338  45   59 114  316  101  55  62  36 144   2   551   0   0   0  66   -7
flynn,malachi     tor PG 53  667   87  242  47 133  25   33  15   76   70  21  25   4  65   1   246   0   0   0   2  -40
fontecchio,simo   uta SF 51  741  115  312  63 191  35   44  31   86   42  15  39   8  62   0   328   0   0   0   6 -205
forbes,bryn       min SG 25  253   30   83  14  46  15   15   4   15   17   7  12   2  22   0    89   0   0   0   0  -49
forrest,trent     atl SG 23  266   25   60   0   2   2    3   5   37   38   7  15   2  17   0    52   0   0   0   3  -58
foster,michael    phi SF  1    1    0    0   0   0   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0   -2
fournier,evan     nyk SG 27  445   56  166  35 114  18   21   4   49   36  16  22   3  46   2   165   0   0   0   7  -54
fox,de'aaron      sac PG 73 2400  682 1329 119 366 343  440  40  306  447  83 181  23 173   0  1826   0   0   0  73  176
fultz,markelle    orl PG 60 1749  349  679  27  87 112  143  69  234  341  87 139  26 131   1   837   0   0   0  60 -130
gabriel,wenyen    lal SF 68  994  155  260  10  36  52   84 116  286   36  26  46  35 144   2   372   0   0   0   2  -31
gafford,daniel    was  C 78 1564  289  395   0   0 127  187 163  434   84  33  86  99 187   2   705   0   0   0  47  -95
garland,darius    cle PG 69 2413  522 1129 169 412 277  321  28  185  539  87 199   9 148   0  1490   0   0   0  69  441
garuba,usman      hou PF 75  936   86  178  24  60  29   47 120  307   64  44  47  29 135   1   225   0   0   0   1 -253
garza,luka        min  C 28  232   63  116  14  39  41   52  33   63   18   3  14   2  43   0   181   0   0   0   0   18
gay,rudy          uta SF 56  789  109  287  33 130  42   49  33  163   57  19  37  18  68   0   293   0   0   0   0   57
george,paul       lac SG 56 1908  460 1005 159 427 256  294  45  342  287  83 176  20 159   0  1335   0   0   0  56  155
gibson,taj        was SF 48  455   65  125   8  24  30   42  32   93   34  15  26  12  84   2   168   0   0   0   2   -4
giddey,josh       okl SG 76 2330  539 1118  76 234 106  145 148  599  469  57 211  31 143   1  1260   0   0   0  76 -107
gilgeous-alexan   okl PG 68 2383  704 1381  58 168 669  739  59  329  371 112 192  65 192   2  2135   0   0   0  68  149
